DATE,14TR_231_AGUA,14TR_232_PROD,FAILURE_SAP
1/1/2024 00:00:00,26.83,24.47,NORMAL
1/1/2024 00:10:00,26.76,24.4,NORMAL
1/1/2024 00:20:00,26.65,24.5,NORMAL
1/1/2024 00:30:00,26.5,24.47,NORMAL
1/1/2024 00:40:00,26.5,24.53,NORMAL
1/1/2024 00:50:00,26.43,24.61,NORMAL
1/1/2024 01:00:00,26.54,24.89,NORMAL
1/1/2024 01:10:00,26.68,24.78,NORMAL
1/1/2024 01:20:00,26.57,24.86,NORMAL
1/1/2024 01:30:00,26.75,24.67,NORMAL
1/1/2024 01:40:00,26.68,24.67,NORMAL
1/1/2024 01:50:00,26.68,24.81,NORMAL
1/1/2024 02:00:00,26.68,24.75,NORMAL
1/1/2024 02:10:00,26.61,24.71,NORMAL
1/1/2024 02:20:00,26.43,24.57,NORMAL
1/1/2024 02:30:00,26.54,24.5,NORMAL
1/1/2024 02:40:00,26.47,24.61,NORMAL
1/1/2024 02:50:00,26.36,24.57,NORMAL
1/1/2024 03:00:00,26.36,24.45,NORMAL
1/1/2024 03:10:00,26.29,24.6,NORMAL
1/1/2024 03:20:00,26.36,24.38,NORMAL
1/1/2024 03:30:00,26.5,24.45,NORMAL
1/1/2024 03:40:00,26.43,24.27,NORMAL
1/1/2024 03:50:00,26.18,24.28,NORMAL
1/1/2024 04:00:00,26.13,24.13,NORMAL
1/1/2024 04:10:00,26,24.03,NORMAL
1/1/2024 04:20:00,25.93,23.77,NORMAL
1/1/2024 04:30:00,25.86,23.91,NORMAL
1/1/2024 04:40:00,25.82,23.95,NORMAL
1/1/2024 04:50:00,25.68,23.79,NORMAL
1/1/2024 05:00:00,25.67,23.81,NORMAL
1/1/2024 05:10:00,25.67,23.81,NORMAL
1/1/2024 05:20:00,25.6,23.73,NORMAL
1/1/2024 05:30:00,25.5,23.77,NORMAL
1/1/2024 05:40:00,25.5,23.84,NORMAL
1/1/2024 05:50:00,25.42,23.7,NORMAL
1/1/2024 06:00:00,25.42,23.55,NORMAL
1/1/2024 06:10:00,25.34,23.77,NORMAL
1/1/2024 06:20:00,25.35,23.77,NORMAL
1/1/2024 06:30:00,25.36,23.51,NORMAL
1/1/2024 06:40:00,25.35,23.73,NORMAL
1/1/2024 06:50:00,25.49,23.59,NORMAL
1/1/2024 07:00:00,25.42,23.3,NORMAL
1/1/2024 07:10:00,25.28,23.12,NORMAL
1/1/2024 07:20:00,24.96,22.76,NORMAL
1/1/2024 07:30:00,24.81,22.48,NORMAL
1/1/2024 07:40:00,24.45,22.19,NORMAL
1/1/2024 07:50:00,24.63,22.26,NORMAL
1/1/2024 08:00:00,24.6,22.19,NORMAL
1/1/2024 08:10:00,24.6,22.4,NORMAL
1/1/2024 08:20:00,24.53,22.55,NORMAL
1/1/2024 08:30:00,24.45,22.58,NORMAL
1/1/2024 08:40:00,24.66,22.51,NORMAL
1/1/2024 08:50:00,24.63,22.55,NORMAL
1/1/2024 09:00:00,24.77,22.72,NORMAL
1/1/2024 09:10:00,24.49,22.58,NORMAL
1/1/2024 09:20:00,24.66,22.69,NORMAL
1/1/2024 09:30:00,24.99,22.98,NORMAL
1/1/2024 09:40:00,24.99,23.09,NORMAL
1/1/2024 09:50:00,25.31,23.61,NORMAL
1/1/2024 10:00:00,25.27,23.7,NORMAL
1/1/2024 10:10:00,25.39,23.99,NORMAL
1/1/2024 10:20:00,25.67,23.88,NORMAL
1/1/2024 10:30:00,25.74,23.86,NORMAL
1/1/2024 10:40:00,25.96,24,NORMAL
1/1/2024 10:50:00,26.11,24.5,NORMAL
1/1/2024 11:00:00,26.17,24.43,NORMAL
1/1/2024 11:10:00,26.15,24.57,NORMAL
1/1/2024 11:20:00,26.04,24.18,NORMAL
1/1/2024 11:30:00,26.62,24.01,NORMAL
1/1/2024 11:40:00,26.68,24.09,NORMAL
1/1/2024 11:50:00,26.72,24.41,NORMAL
1/1/2024 12:00:00,26.72,25.23,NORMAL
1/1/2024 12:10:00,27.26,25.3,NORMAL
1/1/2024 12:20:00,27.79,25.38,NORMAL
1/1/2024 12:30:00,27.43,25.81,NORMAL
1/1/2024 12:40:00,27.43,26.02,NORMAL
1/1/2024 12:50:00,27.58,26.24,NORMAL
1/1/2024 13:00:00,27.69,26.35,NORMAL
1/1/2024 13:10:00,27.95,26.53,NORMAL
1/1/2024 13:20:00,28.16,26.26,NORMAL
1/1/2024 13:30:00,28.34,26.5,NORMAL
1/1/2024 13:40:00,28.31,26.29,NORMAL
1/1/2024 13:50:00,28.45,26.54,NORMAL
1/1/2024 14:00:00,28.81,26.72,NORMAL
1/1/2024 14:10:00,28.96,26.76,NORMAL
1/1/2024 14:20:00,28.89,26.79,NORMAL
1/1/2024 14:30:00,29.14,27.04,NORMAL
1/1/2024 14:40:00,29.18,27.12,NORMAL
1/1/2024 14:50:00,29.25,27.23,NORMAL
1/1/2024 15:00:00,29.5,27.23,NORMAL
1/1/2024 15:10:00,29.57,27.38,NORMAL
1/1/2024 15:20:00,29.75,27.38,NORMAL
1/1/2024 15:30:00,29.83,27.53,NORMAL
1/1/2024 15:40:00,29.83,27.56,NORMAL
1/1/2024 15:50:00,29.9,27.71,NORMAL
1/1/2024 16:00:00,30.05,27.62,NORMAL
1/1/2024 16:10:00,30.04,27.82,NORMAL
1/1/2024 16:20:00,30.05,27.86,NORMAL
1/1/2024 16:30:00,30.11,27.86,NORMAL
1/1/2024 16:40:00,30.34,27.89,NORMAL
1/1/2024 16:50:00,30.27,28.01,NORMAL
1/1/2024 17:00:00,30.27,28.11,NORMAL
1/1/2024 17:10:00,30.4,28.24,NORMAL
1/1/2024 17:20:00,30.41,28.29,NORMAL
1/1/2024 17:30:00,30.41,28.33,NORMAL
1/1/2024 17:40:00,30.51,28.16,NORMAL
1/1/2024 17:50:00,30.56,27.91,NORMAL
1/1/2024 18:00:00,30.55,28.01,NORMAL
1/1/2024 18:10:00,30.48,28.23,NORMAL
1/1/2024 18:20:00,30.63,28.12,NORMAL
1/1/2024 18:30:00,30.59,28.19,NORMAL
1/1/2024 18:40:00,30.55,28.33,NORMAL
1/1/2024 18:50:00,30.38,28.12,NORMAL
1/1/2024 19:00:00,30.41,28.12,NORMAL
1/1/2024 19:10:00,30.48,28.48,NORMAL
