Mes,Helados,Calefaccion
2004-01,46,10
2004-02,40,9
2004-03,30,11
2004-04,27,18
2004-05,16,26
2004-06,15,10
2004-07,26,25
2004-08,24,12
2004-09,37,9
2004-10,31,7
2004-11,33,11
2004-12,40,6
2005-01,26,5
2005-02,25,12
2005-03,25,12
2005-04,22,19
2005-05,15,23
2005-06,18,15
2005-07,19,13
2005-08,20,9
2005-09,29,12
2005-10,40,10
2005-11,52,11
2005-12,40,4
2006-01,30,7
2006-02,34,11
2006-03,22,12
2006-04,23,14
2006-05,13,26
2006-06,19,17
2006-07,18,15
2006-08,26,12
2006-09,34,7
2006-10,32,6
2006-11,34,8
2006-12,51,3
2007-01,32,5
2007-02,29,7
2007-03,18,10
2007-04,18,14
2007-05,18,25
2007-06,18,23
2007-07,20,23
2007-08,22,14
2007-09,32,11
2007-10,35,7
2007-11,31,6
2007-12,43,7
2008-01,35,8
2008-02,26,9
2008-03,20,11
2008-04,19,18
2008-05,18,19
2008-06,23,27
2008-07,23,14
2008-08,22,11
2008-09,29,11
2008-10,33,6
2008-11,49,6
2008-12,47,5
2009-01,39,5
2009-02,30,7
2009-03,26,9
2009-04,26,13
2009-05,23,22
2009-06,25,29
2009-07,29,20
2009-08,37,13
2009-09,40,10
2009-10,52,8
2009-11,58,8
2009-12,75,6
2010-01,72,6
2010-02,55,9
2010-03,46,13
2010-04,38,23
2010-05,39,24
2010-06,31,24
2010-07,37,32
2010-08,42,18
2010-09,51,9
2010-10,53,6
2010-11,58,5
2010-12,84,5
2011-01,66,7
2011-02,56,7
2011-03,45,9
2011-04,40,13
2011-05,37,21
2011-06,35,23
2011-07,42,20
2011-08,44,13
2011-09,56,7
2011-10,62,6
2011-11,62,5
2011-12,73,6
2012-01,71,6
2012-02,58,8
2012-03,42,11
2012-04,39,17
2012-05,35,16
2012-06,36,23
2012-07,42,20
2012-08,41,10
2012-09,55,8
2012-10,52,6
2012-11,61,6
2012-12,66,4
2013-01,62,6
2013-02,57,7
2013-03,39,11
2013-04,34,12
2013-05,33,21
2013-06,33,20
2013-07,35,21
2013-08,39,13
2013-09,49,9
2013-10,52,7
2013-11,57,7
2013-12,63,6
2014-01,56,6
2014-02,46,8
2014-03,37,12
2014-04,31,16
2014-05,28,22
2014-06,29,23
2014-07,33,20
2014-08,44,12
2014-09,46,8
2014-10,56,7
2014-11,57,7
2014-12,65,5
2015-01,57,7
2015-02,50,7
2015-03,41,9
2015-04,33,13
2015-05,34,21
2015-06,29,27
2015-07,34,21
2015-08,39,12
2015-09,45,9
2015-10,47,9
2015-11,58,6
2015-12,70,6
2016-01,59,6
2016-02,54,7
2016-03,33,10
2016-04,31,26
2016-05,27,26
2016-06,28,33
2016-07,34,23
2016-08,40,12
2016-09,46,9
2016-10,48,8
2016-11,56,7
2016-12,71,6
2017-01,55,7
2017-02,57,8
2017-03,45,10
2017-04,36,19
2017-05,33,23
2017-06,34,31
2017-07,43,22
2017-08,45,12
2017-09,51,9
2017-10,55,6
2017-11,72,7
2017-12,81,6
2018-01,71,7
2018-02,65,7
2018-03,48,12
2018-04,40,12
2018-05,35,28
2018-06,32,39
2018-07,36,28
2018-08,42,14
2018-09,59,8
2018-10,57,7
2018-11,82,6
2018-12,87,6
2019-01,76,6
2019-02,72,8
2019-03,51,11
2019-04,46,14
2019-05,32,24
2019-06,40,24
2019-07,44,28
2019-08,47,13
2019-09,68,8
2019-10,68,7
2019-11,96,6
2019-12,100,5
2020-01,89,6
2020-02,80,6
2020-03,71,5
2020-04,67,9
2020-05,60,18
2020-06,41,21
2020-07,44,23
2020-08,63,9
2020-09,73,6
2020-10,84,6
2020-11,93,5
2020-12,94,4
2021-01,84,6
2021-02,67,6
2021-03,49,8
2021-04,41,8
2021-05,36,19
2021-06,36,24
2021-07,39,15
2021-08,47,9
2021-09,54,6
2021-10,64,5
2021-11,68,5
2021-12,89,5
2022-01,84,5
2022-02,58,7
2022-03,41,10
2022-04,36,13
2022-05,33,22
2022-06,33,27
2022-07,43,15
2022-08,46,9
2022-09,49,6
2022-10,62,5
2022-11,91,5
2022-12,90,4
2023-01,80,5
2023-02,67,7
2023-03,55,7
2023-04,36,13
2023-05,33,15
2023-06,36,23
2023-07,38,18
2023-08,45,9
